,array_time,column_count,element_count,pandas_df_compute,pandas_df_time,spark_df_compute,spark_df_time
0,1.898300009391581e-05,1,1000,0.0035911353334086016,6.0471999555981405e-05,0.16112934200039794,0.03419638899989271
1,2.7451000884563353e-05,2,1000,0.007352979333518306,8.908099941133212e-05,0.20138621233248463,0.024553538000570068
2,3.6006000300403684e-05,4,1000,0.014240159000716327,9.572699976464112e-05,0.27024766033355263,0.03723369600023337
3,2.892533423922335e-05,5,1000,0.018163889000182582,0.00010494033388871078,0.3221536336677673,0.03102788133401191
4,2.9657333167657878e-05,10,1000,0.020942540333635407,9.814333316171542e-05,0.41944768933293136,0.02643556166610021
5,0.0013575906668847892,1,100000,0.012596803332902104,0.00011894500009172286,0.245507871000882,1.61382192333258
6,0.001410026667144848,2,100000,0.010089510666148271,9.502900017347808e-05,0.19880723999934466,1.0617022103336542
7,0.0013413706668264542,4,100000,0.019409159333008574,8.955666635301895e-05,0.21490583133345353,0.7864480369995969
8,0.0013353243339224719,5,100000,0.01710529500026799,0.00010040933314788465,0.2610282409999248,0.7438825960004275
9,0.0014940749994517926,10,100000,0.02963213933253428,9.018999965822634e-05,0.35662294300103287,0.6444814123339407
10,0.014132847332803067,1,1000000,0.0484332796659146,8.657866662057738e-05,0.9019064403340357,15.689195449000787
11,0.015404002333525568,2,1000000,0.05283123433279494,9.468333276648384e-05,0.5890331636668028,10.434894170666666
12,0.018727088000256725,4,1000000,0.06711370166643367,0.00010388966741932866,0.5416093026663779,7.666106512000018
13,0.010036790000109855,5,1000000,0.05516504033342547,5.8021333340244986e-05,0.48735115866657,7.253577127333604
14,0.013952059999913521,10,1000000,0.07039184433354724,0.00010233133313401292,0.519732268666606,6.0787996553323564
15,0.0898142789992562,1,10000000,0.37702216366596986,6.070000017643906e-05,8.03726631499982,161.98089597333333
16,0.09383979699972163,2,10000000,0.45823574666671146,6.044333349564113e-05,4.155974252333787,102.44912979166718
17,0.09087366700017203,4,10000000,0.5347661676666272,5.7892333037064723e-05,3.1583042573329294,75.96908621966698
18,0.09394181999959983,5,10000000,0.7050548946657121,5.8233334129909053e-05,3.236380411332599,72.21084180866576
19,0.09681880833401617,10,10000000,1.0204074020002736,0.00012108000009902753,2.2935526953333465,64.0351804209992
