,array_time,column_count,element_count,pandas_df_compute,pandas_df_time,spark_df_compute,spark_df_time
0,9.857666858200295e-06,1,1,0.00011096866667988554,5.230466619347377e-05,0.13002163866682773,0.013987588999953005
1,2.000766714142325e-05,10,10,0.0002549443330887395,9.449766609274472e-05,0.15225434099981308,0.01968203266672693
2,1.8446333342581056e-05,100,100,0.0006440146668561889,0.00010224833325385892,0.8508290616664453,0.03339920266686628
3,1.976099944537661e-05,1000,1000,0.0021500713331382335,5.282733339602904e-05,7.937093276000572,0.1547665586670822
4,9.870333087746985e-06,1,10,0.00010662999981529235,5.172399990745665e-05,0.0981610923330057,0.012703439999919889
5,1.8231000164329696e-05,10,100,0.00023647533392553063,9.123799948914287e-05,0.1313119373335212,0.015130707333203949
6,2.8697000137375046e-05,100,1000,0.0003214733333152253,5.310566666594241e-05,0.8066491676666677,0.03224955433324794
7,0.00010917633335338905,1000,10000,0.002172946666178177,5.2594332980030835e-05,7.344100207333516,0.20098946500002057
8,1.0789333828142844e-05,1,100,0.00010608633298640295,5.209966669402396e-05,0.09994382700036415,0.01465270966703732
9,2.9781667156688247e-05,10,1000,0.00020007166676805355,5.2755000069737434e-05,0.1270205780001561,0.021545966666356737
10,0.00010918699990725145,100,10000,0.0003799430002497199,5.385600040123487e-05,0.7793713153332646,0.0775438013333769
11,0.0010908976667754662,1000,100000,0.0023865596667747013,5.359199955516184e-05,7.496396976666195,0.6907961736669677
12,1.9217999579268508e-05,1,1000,0.00016150599973722515,5.329566677877059e-05,0.09506315899974045,0.028627869333528604
13,0.00016244133318347545,10,10000,0.000247029999930722,8.790099976370887e-05,0.12439447333357141,0.07591244466675562
14,0.0010666983331854378,100,100000,0.0005406539997541889,5.338133329739018e-05,0.8230792003329649,0.5468502510005541
15,0.012221430667220071,1000,1000000,0.007489079000151833,7.603066660522018e-05,8.195854059666695,5.568842550333405
16,0.00010786799975903705,1,10000,0.00012249433348188177,5.3884999942965806e-05,0.0997424619999947,0.1688797943334066
17,0.00108280733365973,10,100000,0.00034186533351506415,5.256766720170466e-05,0.11906413333357098,0.6182825673331536
18,0.013865724666781412,100,1000000,0.0051111076669864515,8.269999974193827e-05,0.9368196483331607,5.116832941999746
19,0.10242950066640333,1000,10000000,0.0411799006669753,5.303133366396651e-05,10.638342913999926,54.82509145133372
20,0.0010654486668499885,1,100000,0.0003064969999589569,5.2751332987099886e-05,0.12568549966696688,1.5560246843330485
21,0.010670199333617347,10,1000000,0.0032762183333640373,5.2707333452417515e-05,0.281180437000027,6.098961575666787
22,0.0995029456668514,100,10000000,0.05634355466645502,5.210233333248956e-05,2.4336869873332034,51.54112907600029
23,0.01064574766678561,1,1000000,0.0018490976666119725,5.209233313507866e-05,0.8984983489996617,15.552167184000306
24,0.10220646866703949,10,10000000,0.06698298433305656,5.225033297998986e-05,1.9034590610002244,61.01635254833369
25,0.10667965066689551,1,10000000,0.01718067533329304,5.2310000076734774e-05,7.524165298667261,155.98534123833392
