,element_count,column_count,array_time,pandas_df_time,pandas_df_compute,spark_df_time,spark_df_compute
0,1000,1,4.0047999997720275e-05,5.223566662001152e-05,0.0007316639999620141,0.06289551566669616,0.18600590166662792
1,1000,10,3.207299998090699e-05,8.519466662922544e-05,0.0009112816667311563,0.040850400999943304,0.16809296966668322
2,1000,100,3.196566664579829e-05,9.620933337828319e-05,0.0014198000000457494,0.06782507100001567,0.17706349099997473
3,1000,1000,3.068000000894244e-05,0.00010066766662930604,0.005300805333339061,0.21048993299996255,0.5466710693333425
4,10000,1,0.00016900533334289017,9.874399999413679e-05,0.0009934553333247702,0.17680803633334108,0.13333602766662503
5,10000,10,0.00010875266669548485,5.4874666678491245e-05,0.0006038396666099288,0.084008828666659,0.1262214396666271
6,10000,100,0.00015475766667805146,9.468700000070385e-05,0.0012926379999953497,0.08327645300005315,0.12532725033330885
7,10000,1000,0.00017016166664992247,9.329233330390707e-05,0.0027021026666413186,0.21235972233337938,0.321946665999955
8,100000,1,0.001088343666727572,5.2230000013272125e-05,0.0006591680000080183,1.5933619816666276,0.1369862876666351
9,100000,10,0.0011070366667051228,5.1888666651696745e-05,0.0009067686666336764,0.6235354043333245,0.08615392699994118
10,100000,100,0.0011287839999264786,5.217299993394894e-05,0.0008454663333547311,0.5444212813333706,0.1126907413333053
11,100000,1000,0.0011893070000041917,5.73883333648458e-05,0.0028887863333390365,0.7109593156666657,0.3580435873333651
12,1000000,1,0.010229141666665479,5.4167999981776425e-05,0.0023324926667100954,15.484319062666676,0.7156479939999372
13,1000000,10,0.01511184800006049,8.090266669569246e-05,0.00674961266668106,5.976208938666635,0.22125269800001965
14,1000000,100,0.0105431623333061,5.1856000027328264e-05,0.0022833693333268457,5.037074541666622,0.19546479033336558
15,1000000,1000,0.010285959999995006,5.4557666696079345e-05,0.004316616666680299,6.023341317000056,0.5018819173333213
16,10000000,1,0.10871452033332692,5.1739666635815716e-05,0.017386562333285838,156.14054015666656,6.857752875333365
17,10000000,10,0.10677023766644804,5.2810333424228396e-05,0.03808317333338588,59.86872714866664,1.6405949119998695
18,10000000,100,0.1055857416664973,5.18046666305357e-05,0.01540744533334267,50.61290392033334,1.1150312423333162
19,10000000,1000,0.10593249133338152,5.272033316335486e-05,0.016490843000004436,52.78127186966655,1.2696349360000265
