,element_count,column_count,array_time,pandas_df_time,pandas_df_compute,spark_df_time,spark_df_compute
0,1,1,1.0092333316909693e-05,7.577466665982986e-05,0.000301792999986598,0.03426357799996064,
1,10,10,1.4348333327992199e-05,8.593966670863058e-05,0.0002963563333651109,0.04525246533338153,
2,100,100,8.10313332901084e-05,8.985366669852131e-05,0.00044376066663668706,0.06775929733339581,
3,1000,1000,3.0860333329959154e-05,8.461966664678282e-05,0.012824529999988954,0.25223097133334704,
4,10,1,1.7949999952785827e-05,9.334233330567561e-05,0.00027742699997664505,0.021118573999956425,0.4818101623332799
5,100,10,1.0742666669708948e-05,5.196333336243697e-05,0.00015989199998026984,0.024482192333304436,0.44208185233325514
6,1000,100,2.7424333363038993e-05,9.634033335714776e-05,0.0004345663332969707,0.04741111200003919,0.5597176419999718
7,10000,1000,0.0001637026666685415,9.136833333892962e-05,0.025666616333334485,0.20826649866664107,2.6354920186666577
8,100,1,2.4571999953574657e-05,5.203200006083838e-05,0.00028643399999358127,0.01764532533328141,0.34282579266656893
9,1000,10,2.7362333336592808e-05,7.967866667968337e-05,0.00019597566665652266,0.02498139766665493,0.3588479926667484
10,10000,100,0.00014885766662094588,8.263000002746897e-05,0.002368471666689705,0.07976994366670927,0.4527940383333468
11,100000,1000,0.0010660083332822978,5.238299998685155e-05,0.20944730766662664,0.6880594009999944,2.4904371616666294
12,1000,1,1.9398000025224366e-05,5.209966669402396e-05,0.00016028766663112037,0.030016081666644823,0.33836401066673716
13,10000,10,0.00010525133332824528,5.37009999940589e-05,0.00041240033328904246,0.07782090999997611,0.3546406383332699
14,100000,100,0.0011133253333355242,5.2255333306068984e-05,0.020983283000002,0.5388742216666742,0.43110740700005107
15,1000000,1000,0.010837343333302366,5.379299993061674e-05,2.0202309956666795,5.592179772999998,3.409776359333364
16,10000,1,0.00014725300002282893,9.060433330887463e-05,0.0004263020000507822,0.1717794013332726,0.37802798733332565
17,100000,10,0.0011121806667233614,6.559133331999571e-05,0.0030318033332908576,0.6228269913333406,0.26818541900001946
18,1000000,100,0.015068915333282954,9.604533336945072e-05,0.21339178199999273,5.124509919333302,0.9490112683333791
19,10000000,1000,0.09926374733330097,5.284466662184665e-05,20.511810475999937,55.140318851666656,12.287330569999995
20,100000,1,0.001050453666721296,5.262133330082482e-05,0.0010244216667463963,1.563325420333361,0.7186910160000176
21,1000000,10,0.0105667220000214,5.22590000097504e-05,0.03150513033339545,6.042880301333298,0.9727317240000654
22,10000000,100,0.098806550000063,5.2516333350164736e-05,2.1518780813333556,51.08182228000002,6.967794373999974
23,1000000,1,0.010117959999964418,5.318799988648001e-05,0.010241765333375952,15.492049340000145,5.0484078023334105
24,10000000,10,0.09906422533337415,5.257300017547095e-05,0.34521597366650286,60.45866971966674,8.27450038666666
25,10000000,1,0.10030892966672884,5.2566333276142054e-05,0.09637029233332821,154.765556772,50.16578110466677
